,condition,score,dataset,Metric
0,random_init,0.2608154016825488,gastrulation,ARI
1,gplvm_init,0.47560275453397044,gastrulation,ARI
2,pca,0.40074279764434667,gastrulation,ARI
0,random_init,0.32008087763115367,bonemarrow,ARI
1,gplvm_init,0.29011396971167713,bonemarrow,ARI
2,pca,0.5134324188492745,bonemarrow,ARI
0,random_init,0.44745767355904503,forebrain,ARI
1,gplvm_init,0.35276673597729513,forebrain,ARI
2,pca,0.5219759376242143,forebrain,ARI
0,random_init,0.3186019134265437,pancreas,ARI
1,gplvm_init,0.34134381854054086,pancreas,ARI
2,pca,0.4466812149787457,pancreas,ARI
0,random_init,0.29792152136382505,pbmc10k,ARI
1,gplvm_init,0.35182005306991204,pbmc10k,ARI
2,pca,0.47388299070227885,pbmc10k,ARI
0,random_init,0.38058483084467687,pbmc3k,ARI
1,gplvm_init,0.4534523749588827,pbmc3k,ARI
2,pca,0.530389674873375,pbmc3k,ARI
0,random_init,0.5592287371565987,gastrulation,NMI
1,gplvm_init,0.7550764878883147,gastrulation,NMI
2,pca,0.6940946721096933,gastrulation,NMI
0,random_init,0.5332285278064482,bonemarrow,NMI
1,gplvm_init,0.5373498396500432,bonemarrow,NMI
2,pca,0.6311247760935714,bonemarrow,NMI
0,random_init,0.6320263594054504,forebrain,NMI
1,gplvm_init,0.5672953498010279,forebrain,NMI
2,pca,0.68386261602789,forebrain,NMI
0,random_init,0.580684391540439,pancreas,NMI
1,gplvm_init,0.595591928433337,pancreas,NMI
2,pca,0.6397431575718353,pancreas,NMI
0,random_init,0.593534899672543,pbmc10k,NMI
1,gplvm_init,0.6317400626722093,pbmc10k,NMI
2,pca,0.6849787431374862,pbmc10k,NMI
0,random_init,0.6889265949095961,pbmc3k,NMI
1,gplvm_init,0.7207579979540071,pbmc3k,NMI
2,pca,0.736289310366677,pbmc3k,NMI
