,CellCycle_Total,MPhase,GPhase,Pancreas_M,Pancreas_G2,Gastrulation_M,Gastrulation_G2,Forebrain_M,Forebrain_G2,Bonemarrow_M,Bonemarrow_G2,Pbmc10k_M,Pbmc10k_G2,Pbmc3K_M,Pbmc3K_G2
0,CCNF,PLK1,KPNA2,CKS2,CDCA8,MAPK13,CDK1,CKS2,TOP2A,,,MAPK13,TOP2A,CENPF,TOP2A
1,PLK1,MAPK13,CDCA8,AURKA,TOP2A,CENPF,TOP2A,CENPE,CDK1,,,AURKA,,,
2,MAPK13,AURKA,HJURP,ARL6IP1,CDK1,AURKA,,TPX2,CCNA2,,,CENPF,,,
3,AURKA,CENPE,UBE2C,CENPF,KPNA2,ARL6IP1,,CENPF,KPNA2,,,,,,
4,CDC8,TPX2,KIF23,CENPE,CCNA2,,,PLK1,UBE2C,,,,,,
5,HJURP,CKS2,TOP2A,TPX2,KIF23,,,ARL6IP1,,,,,,,
6,CENPE,BUB1,CDK1,PLK1,UBE2C,,,,,,,,,,
7,UBE2C,CENPF,CCNA2,,,,,,,,,,,,
8,TPX2,ARL6IP1,,,,,,,,,,,,,
9,KPNA2,DLGAP5,,,,,,,,,,,,,
10,KIF23,,,,,,,,,,,,,,
11,CKS2,,,,,,,,,,,,,,
12,TOP2A,,,,,,,,,,,,,,
13,BUB1,,,,,,,,,,,,,,
14,DTL,,,,,,,,,,,,,,
15,CENPF,,,,,,,,,,,,,,
16,ARL6IP1,,,,,,,,,,,,,,
17,CDK1,,,,,,,,,,,,,,
18,CCNA2,,,,,,,,,,,,,,
19,DLGAP5,,,,,,,,,,,,,,
20,FN1,,,,,,,,,,,,,,
21,PCNA,,,,,,,,,,,,,,
22,MCM6,,,,,,,,,,,,,,
23,MKI67,,,,,,,,,,,,,,
