,Correlation,dataset,Init
0,0.9714058198154831,bonemarrow,PCA
1,0.7986886599290391,bonemarrow,PCA
2,0.8402223479030794,bonemarrow,PCA
3,0.8427475765821439,bonemarrow,PCA
4,0.62075372677722,bonemarrow,PCA
5,0.5850226846225072,bonemarrow,PCA
6,0.32281044635735606,bonemarrow,PCA
0,0.06889488059157231,bonemarrow,random
1,0.3938495826680951,bonemarrow,random
2,0.572302785858097,bonemarrow,random
3,0.07529635152252209,bonemarrow,random
4,0.6869885553271704,bonemarrow,random
5,0.24279300849321095,bonemarrow,random
6,0.10897073962359582,bonemarrow,random
0,0.9925962155066393,forebrain,PCA
1,0.7578693014534371,forebrain,PCA
2,0.74219091224976,forebrain,PCA
3,0.6126562636368752,forebrain,PCA
4,0.4830221945676197,forebrain,PCA
5,0.6644738919106588,forebrain,PCA
6,0.382553569879695,forebrain,PCA
0,0.11567769353348172,forebrain,random
1,0.14132746326413856,forebrain,random
2,0.49015739832333644,forebrain,random
3,0.10264009269682021,forebrain,random
4,0.2719746371961004,forebrain,random
5,0.9112089635937345,forebrain,random
6,0.199331546968589,forebrain,random
0,0.9826628748643252,gastrulation,PCA
1,0.9850797391970348,gastrulation,PCA
2,0.9666833383401305,gastrulation,PCA
3,0.9368960215453391,gastrulation,PCA
4,0.9255656653197639,gastrulation,PCA
5,0.8924677362995419,gastrulation,PCA
6,0.8957378875689471,gastrulation,PCA
0,0.032614099197369184,gastrulation,random
1,0.07336329769142619,gastrulation,random
2,0.2154849732380333,gastrulation,random
3,0.07721508148561929,gastrulation,random
4,0.11963204523787845,gastrulation,random
5,0.09066040624528202,gastrulation,random
6,0.17272763926756782,gastrulation,random
0,0.9919137513672102,pancreas,PCA
1,0.8267734150631253,pancreas,PCA
2,0.8996769264432347,pancreas,PCA
3,0.640669393183851,pancreas,PCA
4,0.7073741886080755,pancreas,PCA
5,0.5803790134753781,pancreas,PCA
6,0.4989943248533655,pancreas,PCA
0,0.0679281560912956,pancreas,random
1,0.2207226270485075,pancreas,random
2,0.8419930249180555,pancreas,random
3,0.5445498566895067,pancreas,random
4,0.4934878793708146,pancreas,random
5,0.4077925875976583,pancreas,random
6,0.3073651448508096,pancreas,random
0,0.9872590062144253,pbmc10k,PCA
1,0.9388697453213408,pbmc10k,PCA
2,0.9589113825986584,pbmc10k,PCA
3,0.7498951855047722,pbmc10k,PCA
4,0.6674621774077177,pbmc10k,PCA
5,0.5116164117495495,pbmc10k,PCA
6,0.7644197749277418,pbmc10k,PCA
0,0.08987785175842776,pbmc10k,random
1,0.37633502948946723,pbmc10k,random
2,0.5103412819024874,pbmc10k,random
3,0.35247019175930894,pbmc10k,random
4,0.8393802316068795,pbmc10k,random
5,0.8797213986239784,pbmc10k,random
6,0.2870656069130348,pbmc10k,random
0,0.9878290637229521,pbmc3k,PCA
1,0.6874564830296058,pbmc3k,PCA
2,0.6041220527177512,pbmc3k,PCA
3,0.6305823943573498,pbmc3k,PCA
4,0.4359529700240911,pbmc3k,PCA
5,0.6786090818758107,pbmc3k,PCA
6,0.4517617873642379,pbmc3k,PCA
0,0.010374377359822669,pbmc3k,random
1,0.16024160052581413,pbmc3k,random
2,0.6095419883889842,pbmc3k,random
3,0.6943948670897446,pbmc3k,random
4,0.4869833466588611,pbmc3k,random
5,0.5501253027053842,pbmc3k,random
6,0.12165007211812473,pbmc3k,random
